categoria,categoria_url,subcategoria,subcategoria_url,empresas_count,subcat_id
Sólo adultos,http://www.seraportiendasonline.com/venta-online-solo-adultos,Sex shops,http://www.seraportiendasonline.com/sex-shops,89,subcat162
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Inmobiliarias y promocion...,http://www.seraportiendasonline.com/inmobiliarias-y-promociones,7,subcat138
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Servicios a empresas,http://www.seraportiendasonline.com/servicios-a-empresas,82,subcat140
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Subasta,http://www.seraportiendasonline.com/subasta,3,subcat142
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Venta de entradas,http://www.seraportiendasonline.com/venta-de-entradas,8,subcat144
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Servicios generales,http://www.seraportiendasonline.com/servicios-generales,45,subcat146
Otros,http://www.seraportiendasonline.com/venta-online-otros,Papelería y materiales de...,http://www.seraportiendasonline.com/papeleria-y-materiales-de-oficina,86,subcat83
Otros,http://www.seraportiendasonline.com/venta-online-otros,Construccíon,http://www.seraportiendasonline.com/construccion,52,subcat85
Otros,http://www.seraportiendasonline.com/venta-online-otros,Maquinaria industrial,http://www.seraportiendasonline.com/maquinaria-industrial,56,subcat87
Otros,http://www.seraportiendasonline.com/venta-online-otros,Ecología,http://www.seraportiendasonline.com/ecologia,18,subcat89
