categoria,subcategoria,subcategoria_url,page,empresa,imagen,ficha_url
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Bruno Baresi,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1877.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1877.ropa-de-la-marca-bruno-baresi
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Camden,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_91.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/91.tienda-online-de-ropa-gotica
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,CamisetaBasica,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_926.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/926.tienda-online-donde-comprar-camisetas-baratas
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Caprichos de mama,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1892.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1892.tienda-online-ropa-infantil
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Carla Rubio Moda infantil,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1893.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1893.tienda-online-ropa-infantil
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,2,Carmen Horneros,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1786.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1786.comercio-textil-femenino
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,3,Chambretas.es,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1363.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1363.tienda-online-de-productos-impresos-con-originales-disenos-en-aragones
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,3,clothingclose,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1556.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1556.tienda-online
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,3,Cocolebrel,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1971.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1971.
Moda y complementos,Ropa,http://www.seraportiendasonline.com/ropa,3,Colandia,http://www.seraportiendasonline.com/tools/thumbs.aspx?p=/images/product/1/small/ps_1_1_1218.jpg&sw=108&sh=68,http://www.seraportiendasonline.com/1218.comparador-de-productos-y-ofertas-compra-online
